GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ProductDetails,com.example.demo.utils,CustomHealthIndicator,0,32,0,2,0,10,0,4,0,3
ProductDetails,com.example.demo.utils,Schedular,0,47,0,0,0,18,0,5,0,5
ProductDetails,com.example.demo.utils,EmailAspect,0,41,0,0,0,15,0,3,0,3
ProductDetails,com.example.demo.service,ProductService,2,109,1,1,1,28,1,10,0,10
ProductDetails,com.example.demo.service,JwtService,0,101,1,3,0,24,1,11,0,10
ProductDetails,com.example.demo.service,UserInfoUserDetailsService,0,25,0,0,0,6,0,3,0,3
ProductDetails,com.example.demo.service,AuthService,14,9,0,0,3,4,1,1,1,1
ProductDetails,com.example.demo.filter,JwtAuthFilter,79,9,14,0,18,4,10,1,3,1
ProductDetails,com.example.demo.controller,HealthController,0,10,0,0,0,4,0,2,0,2
ProductDetails,com.example.demo.controller,ProductController,19,70,0,0,6,15,1,8,1,8
ProductDetails,com.example.demo.controller,DatabaseInfoController,0,32,0,0,0,11,0,2,0,2
ProductDetails,com.example.demo.controller,AuthController,0,53,0,2,0,14,0,5,0,4
ProductDetails,com.example.demo.exception,GlobalExceptionHandler,11,3,0,0,2,1,2,1,2,1
ProductDetails,com.example.demo.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
ProductDetails,com.example.demo.model,UserInfo,34,217,23,17,0,14,19,18,0,17
ProductDetails,com.example.demo.model,AuthRequest,109,15,22,0,2,3,18,3,7,3
ProductDetails,com.example.demo.model,Product,21,146,8,22,0,6,9,18,1,11
ProductDetails,com.example.demo.model,UserInfoUserDetails,0,40,0,0,0,14,0,8,0,8
ProductDetails,com.example.demo.config,CacheConfig,0,47,0,0,0,12,0,3,0,3
ProductDetails,com.example.demo.config,RabbitMqConfig,0,21,0,0,0,4,0,4,0,4
ProductDetails,com.example.demo.config,SecurityConfig,0,119,0,0,0,20,0,10,0,10
ProductDetails,com.example.demo.config,SwaggerConfig,19,5,0,0,4,2,1,2,1,2
ProductDetails,com.example.demo.listener,RabbitMqListener,3,59,1,1,1,19,1,5,0,5
ProductDetails,com.example.demo,ProductDetails,5,3,0,0,2,1,1,1,1,1
ProductDetails,com.example.demo.dto,ProductDTO,11,180,7,23,0,19,7,22,0,14
